Rank,Title,Hit_
1,台风玲玲生成
2,猪肉地产式调控
3,赵丽颖将主演新剧
4,阿娇老公疑似出轨
5,张继科方否认恋情
6,北京工资指导线
7,张致恒结婚
8,包子铺偶遇马斯克
9,粤港澳大湾区电台
10,德鲁纳酒店大结局
11,天价公寓校方致歉
12,波音787玻璃破裂
13,中国留学生被绑架
14,恩施小学伤人事件
15,金希澈安利祝绪丹
16,杨紫新剧宣传
17,菲律宾一飞机坠落
18,具惠善或将隐退
19,安徽在建大桥垮塌
20,校园双层床存隐患
21,祝绪丹回应金希澈
22,中国UFC首位冠军
23,凯文哈特车祸重伤
24,华谊兄弟半年亏损
25,金晨新恋情曝光
26,德约科维奇退赛
27,四川自考报名故障
28,篮球世界杯开打
29,江南写死楚子航
30,默克尔或回归学术
31,英国30城示威活动
32,中国首个湾区电台
33,院士王补宣逝世
34,1秒跳绳9.5次
35,张伟丽UFC冠军
36,华晨宇演唱会
37,中国男篮世界杯
38,德云社违规被叫停
39,奥克斯喊话董明珠
40,新生校园暴力致死
41,乱港分子郑松泰被捕
42,黑公关发王兴黑稿
43,谷歌被罚2亿美元
44,双子杀手定档
45,儿童吃错药长毛
46,手机计算器阵亡
47,印度开通驱蚊列车
48,男孩踢球被踹飞
49,罗马教皇被困电梯
50,马天宇怼营销号
Rank,Title,Hit_
1,中国新说唱
2,吴亦凡女友身份
3,李小璐给甜馨改名
4,工行日赚9.3亿
5,吴亦凡恋情疑曝光
6,地表最快女车手身亡
7,苹果发布会时间
8,军训服蹲下就崩线
9,黄之锋被捕
10,王嘉尔疑质问私生
11,黄晓明baby疑离婚
12,恩里克女儿去世
13,邓超发孙俪黑照
14,乱港分子周庭被捕
15,世界人工智能大会
16,陈妍希探班陈晓
17,杨紫总裁造型
18,李秉光导演去世
19,多名乱港分子被捕
20,北大录取通知书
21,李小璐朋友圈发文
22,武磊替补登场
23,天价宿舍内部曝光
24,广汽回应气囊伤人
25,王祖蓝女儿近照
26,欧冠小组抽签揭晓
27,马丽疑似怀孕
28,新版标准地图上线
29,国庆70周年阅兵
30,保姆殴打两岁男童
31,香港警员参加庆典
32,快递员持刀砍客户
33,北海道6.1级地震
34,魔兽世界怀旧服
35,深圳一大厦晃动
36,肯德基人造肉炸鸡
37,吴秀波方否认复出
38,泰王室新王妃私照
39,帕楚里亚退役
40,中秋节
41,周立波豪宅曝光
42,宁夏两私家车相撞
43,海南突发龙卷风
44,倪妮感谢张艺谋
45,杭州地面坍塌原因
46,欧冠32强出炉
47,逼迫9名学生交往
48,朴槿惠案终审宣判
49,法拉第未来回应
50,张艺兴妈妈发文
Rank,Title,Hit_
1,黄晓明baby疑离婚
2,魔兽世界怀旧服
3,网红乞丐哥被抓
4,李小璐给甜馨改名
5,李小璐朋友圈发文
6,肯德基人造肉炸鸡
7,个人住房贷款调整
8,天价宿舍内部曝光
9,15岁少年逆行身亡
10,女游客拒搭讪被打
11,吴亦凡女友身份
12,台风白鹿即将登陆
13,朴槿惠案终审宣判
14,黄毅清被提请批捕
15,哪吒票房新纪录
16,邓超发孙俪黑照
17,小鹏飞求婚丫蛋
18,工行日赚9.3亿
19,蓝翔侵犯主播肖像
20,赵丽颖产后状态
21,北大录取通知书
22,国庆70周年阅兵
23,王�聪稚砉�证处
24,柏林房租设上限
25,泰王室新王妃私照
26,哪吒票房破45亿
27,宋祖儿阮经天密会
28,唐嫣为刘亦菲庆生
29,苹果捐款修复雨林
30,全球二手经济走红
31,肖战被私生饭摸手
